scenario,payload_mass,execution_horizon,query_index,sequence_id,action_offset,executed_horizon,decision_status,policy_source,runtime_fallback,failure_stage,guard_fallback,fallback_reason,deadline_exceeded,state_mismatch_exceeded,state_mismatch_rad,fault_injected,injected_state_jump_rad,policy_latency_ms,client_inference_latency_ms,validated_policy_response,server_timing,simulated_inference_wait_s,executed_interventions,planned_interventions,supervisor_latency_ms,raw_action_available,observation_q,dispatch_q,actual_q_after
single_block,0.0,15,0,0,0,15,guarded,scripted_non_learned_reference,False,,False,,False,False,0.0,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,True,{},0.0,0,0,6.469100000686012,True,"[-6.645505167103729e-12, -0.7499999999998178, -8.430052443761439e-12, -2.2499999999996256, -1.5328964921158848e-11, 1.5500000000003826, 0.7499999999997874]","[-6.645505167103729e-12, -0.7499999999998178, -8.430052443761439e-12, -2.2499999999996256, -1.5328964921158848e-11, 1.5500000000003826, 0.7499999999997874]","[-0.04075408999084793, -0.6447511285033644, -0.03390184542515993, -2.0692706591558174, -0.04859763580108362, 1.6437909583796524, 0.49763891434190904]"
single_block,0.0,15,1,15,15,15,guarded,scripted_non_learned_reference,False,,False,,False,False,0.0032699530348687667,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",39.99999999359716,40.0,True,{},0.040000000000000036,0,0,5.204299988690764,True,"[-0.04075408999084793, -0.6447511285033644, -0.03390184542515993, -2.0692706591558174, -0.04859763580108362, 1.6437909583796524, 0.49763891434190904]","[-0.041576498713323744, -0.6430273028906114, -0.03528759160761922, -2.0660007061209487, -0.048867651043272245, 1.6460803352418083, 0.4952455855407204]","[-0.08266283146597218, -0.5369823775744819, -0.06946341802913286, -1.8834810569581317, -0.0982878519118612, 1.742319607105947, 0.23425094315139539]"
single_block,0.0,15,2,30,30,15,guarded,scripted_non_learned_reference,False,,False,,False,False,0.0030119501904397605,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",80.00000000174623,80.0,True,{},0.07999999999999119,0,0,7.7818999998271465,True,"[-0.08266283146597218, -0.5369823775744819, -0.06946341802913286, -1.8834810569581317, -0.0982878519118612, 1.742319607105947, 0.23425094315139539]","[-0.08387502208840947, -0.5355547559945653, -0.07165534478490368, -1.880469106767692, -0.09860930760959398, 1.7446544209001935, 0.23220601221502957]","[-0.12415862825608151, -0.4312818493874414, -0.10447877619299786, -1.701195659648713, -0.14776161061616067, 1.8385999335202547, -0.026401460355929992]"
single_block,0.0,15,3,45,45,15,guarded,scripted_non_learned_reference,False,,False,,False,False,0.0025348846663523217,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",160.00000000349246,160.0,True,{},0.15999999999998238,0,0,9.855600001174025,True,"[-0.12415862825608151, -0.4312818493874414, -0.10447877619299786, -1.701195659648713, -0.14776161061616067, 1.8385999335202547, -0.026401460355929992]","[-0.12558438349609902, -0.4306965185435376, -0.10701366085935018, -1.6994751581572243, -0.14808039986942345, 1.8400356759580756, -0.02778931655780767]","[-0.16548279836424154, -0.32613787534844974, -0.1390332763308346, -1.519934711484025, -0.19718096849491965, 1.933943941837194, -0.2867445723067465]"
single_block,0.0,15,4,60,60,15,guarded,scripted_non_learned_reference,False,,False,,False,False,0.0,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,True,{},0.0,0,0,6.758200004696846,True,"[-0.16548279836424154, -0.32613787534844974, -0.1390332763308346, -1.519934711484025, -0.19718096849491965, 1.933943941837194, -0.2867445723067465]","[-0.16548279836424154, -0.32613787534844974, -0.1390332763308346, -1.519934711484025, -0.19718096849491965, 1.933943941837194, -0.2867445723067465]","[-0.20429167039781204, -0.22988093329020765, -0.15576531860174664, -1.355359654759693, -0.24819247231504646, 2.023009053552902, -0.5270273948875593]"
single_block,0.0,15,5,75,75,15,guarded,scripted_non_learned_reference,False,,False,,False,False,0.003694992416042875,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",39.99999999359716,40.0,True,{},0.039999999999995595,0,0,6.64870000036899,True,"[-0.20429167039781204, -0.22988093329020765, -0.15576531860174664, -1.355359654759693, -0.24819247231504646, 2.023009053552902, -0.5270273948875593]","[-0.20207629331097926, -0.22966021871953368, -0.15207032618570376, -1.3550777535293579, -0.248310935271642, 2.0235652379390126, -0.527572884040168]","[-0.16231330753297457, -0.2057149403499859, 0.07557422475855281, -1.3460810039618156, -0.3099654367279428, 2.0554941923228993, -0.5722922986827654]"
single_block,0.0,15,6,90,90,15,guarded,scripted_non_learned_reference,False,,False,,False,False,0.008397850542632826,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",80.00000000174623,80.0,True,{},0.07999999999999119,0,0,5.931699997745454,True,"[-0.16231330753297457, -0.2057149403499859, 0.07557422475855281, -1.3460810039618156, -0.3099654367279428, 2.0554941923228993, -0.5722922986827654]","[-0.15695781992931682, -0.20520671869503238, 0.08397207530118564, -1.346602204343368, -0.3097844955528153, 2.056410583872652, -0.5727727855475034]","[-0.12592407340241238, -0.18283123999054796, 0.29796026773078627, -1.3366407385192522, -0.37202297293862785, 2.0875975712431396, -0.6142737863776703]"
single_block,0.0,15,7,105,105,15,guarded,scripted_non_learned_reference,False,,False,,False,False,0.009968432053311882,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",160.00000000349246,160.0,True,{},0.15999999999998238,0,0,7.5597999966703355,True,"[-0.12592407340241238, -0.18283123999054796, 0.29796026773078627, -1.3366407385192522, -0.37202297293862785, 2.0875975712431396, -0.6142737863776703]","[-0.11931261123542712, -0.18376622815531932, 0.30792869978409815, -1.3377703298833046, -0.37169416472216005, 2.0886070812678343, -0.6146949605764805]","[-0.06709095664694188, -0.1549599442980467, 0.506935200978591, -1.3355837709630607, -0.4299460941307873, 2.100898572421167, -0.6564593714765949]"
single_block,0.0,15,8,120,120,15,guarded,scripted_non_learned_reference,False,,False,,False,False,0.0,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,True,{},0.0,0,0,5.46490000851918,True,"[-0.06709095664694188, -0.1549599442980467, 0.506935200978591, -1.3355837709630607, -0.4299460941307873, 2.100898572421167, -0.6564593714765949]","[-0.06709095664694188, -0.1549599442980467, 0.506935200978591, -1.3355837709630607, -0.4299460941307873, 2.100898572421167, -0.6564593714765949]","[0.14835501000312445, -0.014471764759037877, 0.6189576180092489, -1.4436496890710262, -0.4291304911401469, 1.9890060600269865, -0.6943059277408384]"
single_block,0.0,15,9,135,135,15,guarded,scripted_non_learned_reference,False,,False,,False,False,0.001054588602028686,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",39.99999999359716,40.0,True,{},0.04000000000001336,0,0,5.35229999513831,True,"[0.14835501000312445, -0.014471764759037877, 0.6189576180092489, -1.4436496890710262, -0.4291304911401469, 1.9890060600269865, -0.6943059277408384]","[0.14825073605811087, -0.013417176157009192, 0.6188538406745366, -1.4436117764146805, -0.4284319338428784, 1.9893540056454349, -0.6942356039569195]","[0.3009022650656869, 0.04124510194472624, 0.38772344707754924, -1.4224075578169506, -0.2554758404961867, 2.029053807606584, -0.6875441977582119]"
