schema_version,episode_id,pair_id,condition_order,task_suite,task_id,episode_index,task_description,mode,replan_steps,latency_steps,injected_latency_ms,fixed_refresh_interval,seed,success,termination_reason,initial_state_sha256,environment_steps,task_action_steps,latency_action_steps,policy_queries,accepted_chunks,rejected_chunks,stale_chunks_executed,stale_action_steps,interventions,inference_latency_p50_ms,inference_latency_p95_ms,policy_inference_latency_p50_ms,policy_inference_latency_p95_ms,server_inference_latency_p50_ms,server_inference_latency_p95_ms,wall_time_s,failure_category,failure_type,failure_message,video_required,video_path,video_error_type,video_error_message
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_047__h_05__l_004__async_unguarded,libero_spatial/task_000/episode_047/h_05/l_004,0,libero_spatial,0,47,pick up the black bowl between the plate and the ramekin and place it on the plate,async_unguarded,5,4,200.0,,7,False,step_limit,5121b2843a01011f6a77ae69d447a952bb1516216f3fbc63cc8c40085eae45e1,230,120,100,25,24,0,24,120,0,82.28790300199762,83.7809668002592,58.21861599906697,58.556562601734186,81.29074200041941,82.66993519937387,32.003723600999365,,,,True,videos/libero_spatial__task_000__episode_047__h_05__l_004__async_unguarded__failure.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_047__h_05__l_004__latency_aligned,libero_spatial/task_000/episode_047/h_05/l_004,1,libero_spatial,0,47,pick up the black bowl between the plate and the ramekin and place it on the plate,latency_aligned,5,4,200.0,,7,True,success_during_inference_delay,5121b2843a01011f6a77ae69d447a952bb1516216f3fbc63cc8c40085eae45e1,121,60,51,13,12,0,12,60,0,81.34624499871279,84.03082539807656,58.16864300140878,58.27706079944619,80.41528000103426,82.90053639939288,5.170605108000018,,,,True,videos/libero_spatial__task_000__episode_047__h_05__l_004__latency_aligned__success.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_048__h_05__l_004__latency_aligned,libero_spatial/task_000/episode_048/h_05/l_004,2,libero_spatial,0,48,pick up the black bowl between the plate and the ramekin and place it on the plate,latency_aligned,5,4,200.0,,7,True,success_during_inference_delay,8e1b1a33ab96a20b350876eb640d59710e6ed747d70eb0a502fafe37c0fe909b,92,45,37,10,9,0,9,45,0,81.04105000165873,82.47054660259892,58.110176998525276,58.24157379993267,80.28802199987695,81.4134346001083,4.077447456002119,,,,True,videos/libero_spatial__task_000__episode_048__h_05__l_004__latency_aligned__success.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_000__episode_048__h_05__l_004__async_unguarded,libero_spatial/task_000/episode_048/h_05/l_004,3,libero_spatial,0,48,pick up the black bowl between the plate and the ramekin and place it on the plate,async_unguarded,5,4,200.0,,7,False,step_limit,8e1b1a33ab96a20b350876eb640d59710e6ed747d70eb0a502fafe37c0fe909b,230,120,100,25,24,0,24,120,0,80.81272300114506,83.79641320134397,58.0699129968707,58.275366199814016,80.07953900232678,82.9538632009644,9.054515853997145,,,,True,videos/libero_spatial__task_000__episode_048__h_05__l_004__async_unguarded__failure.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_001__episode_047__h_05__l_004__async_unguarded,libero_spatial/task_001/episode_047/h_05/l_004,4,libero_spatial,1,47,pick up the black bowl next to the ramekin and place it on the plate,async_unguarded,5,4,200.0,,7,False,step_limit,2473a97a63e940ea77eb2993ed757b15f5f8db7b28946acd04e9a076cd4bfacc,230,120,100,25,24,0,24,120,0,81.30227599758655,84.62725700155715,58.18056499992963,58.55530880144215,80.46476199888275,83.47561140108155,9.275791978998313,,,,True,videos/libero_spatial__task_001__episode_047__h_05__l_004__async_unguarded__failure.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_001__episode_047__h_05__l_004__latency_aligned,libero_spatial/task_001/episode_047/h_05/l_004,5,libero_spatial,1,47,pick up the black bowl next to the ramekin and place it on the plate,latency_aligned,5,4,200.0,,7,True,success_during_inference_delay,2473a97a63e940ea77eb2993ed757b15f5f8db7b28946acd04e9a076cd4bfacc,193,100,83,21,20,0,20,100,0,80.86229100081255,87.87043700067443,58.11525099852588,58.35461400056374,79.9740379989089,86.72658599971328,8.286166778001643,,,,True,videos/libero_spatial__task_001__episode_047__h_05__l_004__latency_aligned__success.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_001__episode_048__h_05__l_004__latency_aligned,libero_spatial/task_001/episode_048/h_05/l_004,6,libero_spatial,1,48,pick up the black bowl next to the ramekin and place it on the plate,latency_aligned,5,4,200.0,,7,True,success_during_inference_delay,5929d6d6e37ddc77a7d59b36ff8a7f5e5685bf15473b157b9a49eea5b9f5abdb,131,65,56,14,13,0,13,65,0,81.79391550038417,84.49003890036693,58.240827500412706,58.387995049452,80.79989950056188,83.43895064990647,5.85677057599969,,,,True,videos/libero_spatial__task_001__episode_048__h_05__l_004__latency_aligned__success.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_001__episode_048__h_05__l_004__async_unguarded,libero_spatial/task_001/episode_048/h_05/l_004,7,libero_spatial,1,48,pick up the black bowl next to the ramekin and place it on the plate,async_unguarded,5,4,200.0,,7,False,step_limit,5929d6d6e37ddc77a7d59b36ff8a7f5e5685bf15473b157b9a49eea5b9f5abdb,230,120,100,25,24,0,24,120,0,81.29020900014439,82.64144779750495,58.248010001989314,58.332970399351325,80.43502800137503,81.64941500217537,9.064483667996683,,,,True,videos/libero_spatial__task_001__episode_048__h_05__l_004__async_unguarded__failure.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_002__episode_047__h_05__l_004__async_unguarded,libero_spatial/task_002/episode_047/h_05/l_004,8,libero_spatial,2,47,pick up the black bowl from table center and place it on the plate,async_unguarded,5,4,200.0,,7,False,step_limit,bd1098e0a746acbba07a7cf3c6a18658dd9d2c6a76e5650df470849ca3b36a4e,230,120,100,25,24,0,24,120,0,81.5516939983354,83.2819092021964,58.071110001037596,58.159771200007526,80.69705099842395,82.22978139892803,9.336438294998516,,,,True,videos/libero_spatial__task_002__episode_047__h_05__l_004__async_unguarded__failure.mp4,,
armbench.pi05_libero_async.v1,libero_spatial__task_002__episode_047__h_05__l_004__latency_aligned,libero_spatial/task_002/episode_047/h_05/l_004,9,libero_spatial,2,47,pick up the black bowl from table center and place it on the plate,latency_aligned,5,4,200.0,,7,True,success_during_inference_delay,bd1098e0a746acbba07a7cf3c6a18658dd9d2c6a76e5650df470849ca3b36a4e,149,75,64,16,15,0,15,75,0,82.92367800095235,85.68238750103774,58.145025999692734,58.463578248847625,81.9351744994492,84.64694725262234,6.185149775999889,,,,True,videos/libero_spatial__task_002__episode_047__h_05__l_004__latency_aligned__success.mp4,,
